timestamp,open,high,low,close,volume
1704067200,42500.00,42850.00,42350.00,42780.00,125.43
1704070800,42780.00,43100.00,42680.00,43050.00,98.76
1704074400,43050.00,43200.00,42900.00,42950.00,112.34
1704078000,42950.00,43150.00,42800.00,43100.00,87.21
1704081600,43100.00,43400.00,43000.00,43350.00,145.67
1704085200,43350.00,43600.00,43200.00,43550.00,132.89
1704088800,43550.00,43700.00,43350.00,43400.00,109.45
1704092400,43400.00,43500.00,43100.00,43150.00,95.32
1704096000,43150.00,43300.00,42950.00,43250.00,78.91
1704099600,43250.00,43600.00,43200.00,43500.00,156.78
1704103200,43500.00,43800.00,43450.00,43750.00,178.23
1704106800,43750.00,44000.00,43600.00,43900.00,201.45
1704110400,43900.00,44200.00,43850.00,44150.00,189.67
1704114000,44150.00,44300.00,43900.00,43950.00,167.89
1704117600,43950.00,44050.00,43700.00,43800.00,143.21
1704121200,43800.00,43900.00,43500.00,43550.00,121.56
1704124800,43550.00,43650.00,43300.00,43400.00,98.45
1704128400,43400.00,43700.00,43350.00,43650.00,112.78
1704132000,43650.00,44000.00,43600.00,43950.00,167.34
1704135600,43950.00,44200.00,43900.00,44100.00,145.89
1704139200,44100.00,44350.00,44000.00,44250.00,178.56
1704142800,44250.00,44500.00,44100.00,44450.00,198.23
1704146400,44450.00,44600.00,44300.00,44350.00,156.78
1704150000,44350.00,44400.00,44100.00,44200.00,134.56
1704153600,44200.00,44300.00,43900.00,43950.00,145.23
1704157200,43950.00,44100.00,43800.00,44050.00,123.45
1704160800,44050.00,44300.00,44000.00,44200.00,156.78
1704164400,44200.00,44500.00,44150.00,44450.00,189.34
1704168000,44450.00,44700.00,44400.00,44650.00,201.23
1704171600,44650.00,44800.00,44500.00,44550.00,178.56
1704175200,44550.00,44600.00,44300.00,44350.00,145.89
1704178800,44350.00,44500.00,44200.00,44450.00,134.23
1704182400,44450.00,44700.00,44400.00,44600.00,167.45
1704186000,44600.00,44850.00,44550.00,44800.00,189.78
1704189600,44800.00,45000.00,44700.00,44950.00,212.34
1704193200,44950.00,45200.00,44850.00,45100.00,198.56
1704196800,45100.00,45300.00,44900.00,44950.00,176.23
1704200400,44950.00,45050.00,44700.00,44800.00,154.89
1704204000,44800.00,44900.00,44500.00,44550.00,132.45
1704207600,44550.00,44700.00,44400.00,44650.00,123.78
1704211200,44650.00,44900.00,44600.00,44850.00,145.67
1704214800,44850.00,45100.00,44800.00,45050.00,178.23
1704218400,45050.00,45300.00,45000.00,45200.00,198.45
1704222000,45200.00,45400.00,45100.00,45350.00,212.67
1704225600,45350.00,45500.00,45200.00,45250.00,187.34
1704229200,45250.00,45350.00,45000.00,45050.00,156.78
1704232800,45050.00,45150.00,44800.00,44900.00,143.23
1704236400,44900.00,45000.00,44700.00,44750.00,121.56
1704240000,44750.00,44900.00,44600.00,44850.00,134.89
1704243600,44850.00,45100.00,44800.00,45000.00,156.45
1704247200,45000.00,45250.00,44950.00,45200.00,178.78
1704250800,45200.00,45400.00,45100.00,45350.00,189.23
1704254400,45350.00,45600.00,45300.00,45550.00,201.45
1704258000,45550.00,45750.00,45400.00,45700.00,223.67
1704261600,45700.00,45900.00,45600.00,45850.00,234.89
1704265200,45850.00,46000.00,45700.00,45750.00,198.23
1704268800,45750.00,45850.00,45500.00,45600.00,176.45
1704272400,45600.00,45700.00,45350.00,45400.00,154.67
